SKU,周次,销量
MA-1666-Q,W23,0
MA-1666-Q,W24,0
MA-1666-Q,W25,1
MA-1666-Q,W26,1
MA-1666-Q,W27,2
MA-1666-Q,W28,1
MA-1666-Q,W29,0
MA-1666-Q,W30,1
MA-1666-Q,W31,2
MA-1666-Q,W32,1
MA-1666-Q,W33,1
MA-1666-Q,W34,4
MA-1667-D,W23,0
MA-1667-D,W24,1
MA-1667-D,W25,2
MA-1667-D,W26,0
MA-1667-D,W27,1
MA-1667-D,W28,1
MA-1667-D,W29,1
MA-1667-D,W30,1
MA-1667-D,W31,2
MA-1667-D,W32,0
MA-1667-D,W33,2
MA-1667-D,W34,0
MA-1667-K,W23,0
MA-1667-K,W24,0
MA-1667-K,W25,1
MA-1667-K,W26,0
MA-1667-K,W27,0
MA-1667-K,W28,0
MA-1667-K,W29,1
MA-1667-K,W30,0
MA-1667-K,W31,0
MA-1667-K,W32,1
MA-1667-K,W33,3
MA-1667-K,W34,0
MA-1772-D,W23,0
MA-1772-D,W24,1
MA-1772-D,W25,0
MA-1772-D,W26,0
MA-1772-D,W27,1
MA-1772-D,W28,1
MA-1772-D,W29,2
MA-1772-D,W30,2
MA-1772-D,W31,1
MA-1772-D,W32,3
MA-1772-D,W33,6
MA-1772-D,W34,1
MA-1772-KS,W23,0
MA-1772-KS,W24,0
MA-1772-KS,W25,0
MA-1772-KS,W26,1
MA-1772-KS,W27,2
MA-1772-KS,W28,2
MA-1772-KS,W29,1
MA-1772-KS,W30,0
MA-1772-KS,W31,0
MA-1772-KS,W32,0
MA-1772-KS,W33,1
MA-1772-KS,W34,1
MA-1772-Q,W23,0
MA-1772-Q,W24,0
MA-1772-Q,W25,0
MA-1772-Q,W26,1
MA-1772-Q,W27,0
MA-1772-Q,W28,5
MA-1772-Q,W29,1
MA-1772-Q,W30,5
MA-1772-Q,W31,3
MA-1772-Q,W32,1
MA-1772-Q,W33,3
MA-1772-Q,W34,1
MA-1772-S,W23,0
MA-1772-S,W24,0
MA-1772-S,W25,1
MA-1772-S,W26,0
MA-1772-S,W27,0
MA-1772-S,W28,0
MA-1772-S,W29,3
MA-1772-S,W30,0
MA-1772-S,W31,1
MA-1772-S,W32,2
MA-1772-S,W33,0
MA-1772-S,W34,0
PL-1167F,W23,1
PL-1167F,W24,0
PL-1167F,W25,2
PL-1167F,W26,0
PL-1167F,W27,3
PL-1167F,W28,4
PL-1167F,W29,0
PL-1167F,W30,3
PL-1167F,W31,4
PL-1167F,W32,3
PL-1167F,W33,8
PL-1167F,W34,0
PL-1168R,W23,0
PL-1168R,W24,2
PL-1168R,W25,1
PL-1168R,W26,0
PL-1168R,W27,11
PL-1168R,W28,0
PL-1168R,W29,1
PL-1168R,W30,0
PL-1168R,W31,2
PL-1168R,W32,0
PL-1168R,W33,2
PL-1168R,W34,2
PL-1169R,W23,0
PL-1169R,W24,3
PL-1169R,W25,4
PL-1169R,W26,6
PL-1169R,W27,4
PL-1169R,W28,15
PL-1169R,W29,9
PL-1169R,W30,2
PL-1169R,W31,0
PL-1169R,W32,0
PL-1169R,W33,0
PL-1169R,W34,0
PL-1169R,W35,0
