快照日期,SKU,品类,现有库存,在途,安全库存,预计到货
,XFKF-MA-1666-34-D,床垫,7,10,0,
,XFKF-MA-1666-34-KS,床垫,12,15,0,
,XFKF-MA-1666-34-Q,床垫,19,34,0,
,XFKF-MA-1666-34-S,床垫,7,10,0,
,XFKF-MA-1667-30-D,床垫,19,30,0,
,XFKF-MA-1667-30-K,床垫,18,25,0,
,XFKF-MA-1667-30-KS,床垫,13,15,0,
,XFKF-MA-1667-30-Q,床垫,32,39,0,
,XFKF-MA-1667-30-S,床垫,11,15,0,
,XFKF-MA-1772-26-D,床垫,2,20,0,
,XFKF-MA-1772-26-KS,床垫,22,30,0,
,XFKF-MA-1772-26-Q,床垫,44,64,0,
,XFKF-MA-1772-26-S,床垫,12,20,0,
,XFKF-PL-1167F-WH,枕头,25,53,0,
,XFKF-PL-1168R-WH,枕头,27,48,0,
,XFKF-PL-1169R-WH,枕头,0,43,0,
