SKU,品名,品类,规格,采购价,币种,安全库存天数
XFKF-MA-1666-34-D,,床垫,,0,RMB,21
XFKF-MA-1666-34-KS,,床垫,,0,RMB,21
XFKF-MA-1666-34-Q,,床垫,,0,RMB,21
XFKF-MA-1666-34-S,,床垫,,0,RMB,21
XFKF-MA-1667-30-D,,床垫,,0,RMB,21
XFKF-MA-1667-30-K,,床垫,,0,RMB,21
XFKF-MA-1667-30-KS,,床垫,,0,RMB,21
XFKF-MA-1667-30-Q,,床垫,,0,RMB,21
XFKF-MA-1667-30-S,,床垫,,0,RMB,21
XFKF-MA-1772-26-D,,床垫,,0,RMB,21
XFKF-MA-1772-26-KS,,床垫,,0,RMB,21
XFKF-MA-1772-26-Q,,床垫,,0,RMB,21
XFKF-MA-1772-26-S,,床垫,,0,RMB,21
XFKF-PL-1167F-WH,,枕头,,0,RMB,21
XFKF-PL-1168R-WH,,枕头,,0,RMB,21
XFKF-PL-1169R-WH,,枕头,,0,RMB,21
