SKU,品名,品类,规格,售价AUD,采购价,币种,头程运费,卸货费,入出库处理费,快递费,平台佣金,支付手续费,退货损耗
XFKF-PL-1167F-WH,1167F White,枕头,1167F White,15.42,,RMB,,,,,,,
XFKF-PL-1168R-WH,1168R White,枕头,1168R White,30.87,,RMB,,,,,,,
XFKF-PL-1169R-WH,1169R White,枕头,1169R White,,,RMB,,,,,,,
XFKF-MA-1666-34-D,1666 34cm Double,床垫,1666 34cm Double,323.79,,RMB,,,,,,,
XFKF-MA-1666-34-KS,1666 34cm King Single,床垫,1666 34cm King Single,,,RMB,,,,,,,
XFKF-MA-1666-34-Q,1666 34cm Queen,床垫,1666 34cm Queen,400.97,,RMB,,,,,,,
XFKF-MA-1666-34-S,1666 34cm Single,床垫,1666 34cm Single,251.55,,RMB,,,,,,,
XFKF-MA-1667-30-D,1667 30cm Double,床垫,1667 30cm Double,270.23,,RMB,,,,,,,
XFKF-MA-1667-30-K,1667 30cm King,床垫,1667 30cm King,336.27,,RMB,,,,,,,
XFKF-MA-1667-30-KS,1667 30cm King Single,床垫,1667 30cm King Single,214.93,,RMB,,,,,,,
XFKF-MA-1667-30-Q,1667 30cm Queen,床垫,1667 30cm Queen,223.49,,RMB,,,,,,,
XFKF-MA-1667-30-S,1667 30cm Single,床垫,1667 30cm Single,220.97,,RMB,,,,,,,
XFKF-MA-1772-26-D,1772 26cm Double,床垫,1772 26cm Double,219.27,,RMB,,,,,,,
XFKF-MA-1772-26-KS,1772 26cm King Single,床垫,1772 26cm King Single,141.43,,RMB,,,,,,,
XFKF-MA-1772-26-Q,1772 26cm Queen,床垫,1772 26cm Queen,242.25,,RMB,,,,,,,
XFKF-MA-1772-26-S,1772 26cm Single,床垫,1772 26cm Single,148.37,,RMB,,,,,,,
